Brand_Name,Train RMSE,Train MAE,Train R2,Train MAPE (%),Validation RMSE,Validation MAE,Validation R2,Validation MAPE (%),Test RMSE,Test MAE,Test R2,Test MAPE (%)
3m,0.2744364714183573,0.20162228316825673,0.9999702704467632,0.2871804459467742,1.1701767848843092,0.7008017585391089,0.9923364410004838,0.8366911421973622,0.8608819780363081,0.6014875546850343,0.9986980118971496,0.5496383296547406
adidas,0.06873808658834284,0.05393904666091626,0.9999979733371483,0.13119720314061908,0.654145096724649,0.4764153225963342,0.9947775363604641,0.5474934730075101,0.825411583189175,0.6002847894194168,0.9937220057103673,0.5013820254253316
adobe,0.3031547538307206,0.22419320649179497,0.9999960422072347,0.45217278801808847,4.93129450159171,3.66491239033048,0.9973338292718411,0.7569228615882662,5.1910869283914725,3.6445143728545193,0.9940482591124531,0.7143905758003629
airbnb,0.15878429794694732,0.12889274390968128,0.9999746781292949,0.0925319620963781,1.1708990609638101,0.9300955515059214,0.9924045682102438,0.7581100994009196,1.3525268992244397,0.9981267139165086,0.9907405576234094,0.7401209630028297
amazon,0.07559171742796128,0.04945223417351317,0.9999976597410182,0.5984810164129969,1.2349259961503076,0.9485954405769467,0.9957180205953036,0.7681423317977698,21.518424378196165,14.029914470634075,-0.07666264745624929,6.576185219365083
amd,0.145522615004511,0.10543831691501304,0.9999727705526507,0.9391224060541502,1.3513806393143313,1.0302360019986587,0.9941475469010858,1.0021451041451988,14.224390435234774,8.797473040494053,0.7371980010786109,5.261699037916888
american eagle outfitters,0.04476701937268086,0.03512885351347475,0.9999410038758778,0.405022113622334,0.1002274480854766,0.07742632381499752,0.9984456921899078,0.514297010704864,0.144929312271239,0.10978278246792879,0.9987522386587129,0.5865309061872122
american express,0.15044420719735188,0.11759098498586837,0.9999851605894796,0.2637969307841827,1.4568779163070888,1.030955705984655,0.9807324625708949,0.6206900646268877,78.87427052082047,70.86853154180032,-4.101478461564941,26.09006586656531
apple,0.17732718057003663,0.11981728887248218,0.9999828717286535,2.5801200244629943,8.67981106690529,5.625067937941776,0.7493892295196081,3.014085655591827,44.646291630933604,38.44132587163135,-2.4784629168863908,17.00377076525681
block,0.17024867249598072,0.1334807141941393,0.9999947070145497,0.31322796763128646,0.6289739474765333,0.5002250368632969,0.9969082562092283,0.7871947701721428,0.7108327295453774,0.5474368132186574,0.9953799735685386,0.7358888414099298
bmw group,0.0928854445279394,0.07141308787466957,0.9999672095842019,0.13442860930253545,11.018543629142608,7.428169518858943,-0.21850923352070395,6.590087894972534,4.883713001019243,2.455615472356114,0.8103798520714793,2.3686607478474073
chipotle,0.23088507085166068,0.18038798239822268,0.9999997552799473,0.08344394630708946,145.2170928659868,91.36404674271664,0.6166006221094269,4.290562985607855,535.3171677892356,282.8063071087153,0.8276330704061585,17.428392903116947
cisco,0.11239695841842068,0.08099474164515516,0.9999247104250115,0.39204288011830907,0.40957033165686446,0.22302476186600942,0.980582447452779,0.4275775175796236,2.0013430250540574,1.0903139403372097,0.8848234953653175,1.8039376623837984
coinbase,0.17449269089175387,0.1413629417595214,0.9999966792925085,0.13176391747146488,3.5740208530864632,2.161782870216975,0.9838597503141596,2.5150376011864815,4.563234738463071,3.3872189184631982,0.9913754785220881,1.619625837983279
colgate palmolive,0.1152488785960442,0.08598563047771277,0.9999699786259987,0.24864280776235445,0.24614974968997888,0.18787973715489603,0.9918769731712687,0.2513487875970955,13.801405827974547,12.270237662575461,-3.6054384762204226,12.793083133361655
costco,0.14927755362139733,0.11628584748870113,0.9999987002987156,0.20225151310019188,15.163257232237909,7.255556984553263,0.8713942129894523,1.251447600692044,315.089032923202,296.77243226947206,-8.02756028338249,32.94889095373016
crocs,0.17945085741340372,0.13448203824807287,0.9999653308427432,0.9040869668786758,2.291727847234829,1.7917290036640472,0.9787748970571631,1.6492937211024568,1.8278302155083797,1.328150546911991,0.9903134698626376,1.1231368207379493
delta air lines,0.051878743953918095,0.04083378632259005,0.9999908210151358,0.22569296957558996,0.19798056906427286,0.1566165666731576,0.9980313842956549,0.41108249207487785,1.9026626266602704,0.9030826260345152,0.9551011748481335,1.4836428467166494
fedex,0.1664514262862833,0.13130946577120597,0.9999933486022571,0.15573346675561908,1.502354145874414,1.075588819040245,0.9963603985123701,0.4552633206645365,2.4952958715812468,1.705236916590218,0.9895835665679531,0.6332034291820696
foot locker,0.09460835049160067,0.07092821509475143,0.9999665025529951,0.40953762076455713,0.26598137285283846,0.18029810890318823,0.9990957864733087,0.6809617130315927,0.2781941977547358,0.17774546266806238,0.997130242412874,0.7798125901074444
google,0.05849237629696524,0.04536649270959806,0.9999972051443712,0.22935002493824158,0.962042155352706,0.7546372792077443,0.9964373015182586,0.6394170483382162,24.967088866575555,20.260324112092604,-1.3947194264258997,11.391507247713331
hershey company,0.237547485935204,0.17832480404730058,0.9999784092979778,0.3861505743941665,14.897191792305833,9.636537407498908,0.7203960824356153,3.8838624363467473,2.6525780473564957,2.040862420592647,0.9660059103837502,1.116467202523528
hilton,0.2064866887398563,0.16304335148515486,0.9999603058595844,0.22945593676480547,5.73027582160392,2.542910298503253,0.7422460547843251,1.5267354667364477,69.9069079474107,66.2165579362349,-8.720837054433247,28.789677161987893
honda,0.04315941652343611,0.03408719608774244,0.999940765554301,0.15493746977120465,0.18408235644172638,0.08364496573034041,0.9967386051424962,0.26677668221191014,0.5353877680358462,0.22022143277254966,0.9687101266297443,0.6444658284526238
johnson & johnson,0.08520436076935876,0.0658923574776894,0.9999961042655641,0.12401313829616127,0.6697731067770393,0.5000927637493799,0.9916875392002148,0.3185914646635313,0.9047757957997494,0.6342926410713581,0.9816338744120101,0.41857716657791266
jpmorgan chase & co,0.1556730748897336,0.11852857785169708,0.9999824063521537,0.3228365995975091,1.3205696078567923,0.8949073609851655,0.9801230261762339,0.6198421703547083,64.96103211626146,58.363702677717114,-4.18472509597626,25.329329016255187
logitech,0.05255379491835511,0.040490653614975614,0.9999950295842474,0.3010855274440741,0.5739399130632955,0.44160166584637994,0.9972763465689337,0.65763905108109,0.8532672558822887,0.6591710562657829,0.9858661452514405,0.7496439144547624
lvmh,0.21210799451945958,0.13797826212319403,0.9999727099874306,0.38466020146269037,16.109583616749354,11.753576757423431,-0.0014830489922741386,6.417391934458156,6.153391403637535,2.9306341645681306,0.8952879780519124,1.7462679409380062
marriott,0.18970694731641627,0.14012049821161823,0.9999829075759809,0.38466581598912486,17.25744807660869,11.849479311988464,0.05875585567634645,5.875267209136198,77.55020757323653,74.34795854313847,-11.218982473055169,29.00079358979553
mastercard,0.3043095226825992,0.22715014207876463,0.9999934033569672,0.4827000797119982,14.933705261771637,9.69562373085628,0.4516343433316624,2.393451584205353,117.53202998623526,109.85208253186158,-6.780963474974673,21.64900392844121
mcdonald's,0.22558744963138447,0.16605816386782957,0.9999896967922525,0.375330611255949,14.19236988938886,10.849914974636501,-0.02940308375784162,3.7842715579746686,26.0365362284937,21.43902210274128,-0.9821201909451764,7.151647394929096
microsoft,0.15190612427955782,0.11208655596479802,0.9999960610359773,0.3317797577832838,15.007730904142448,7.778576866028803,0.8651309677575819,2.1991969230531536,86.5769178606538,84.11854984784367,-15.261225336448238,19.970062362848285
netflix,0.5228410996109857,0.31615664258722775,0.9999902822729704,1.2083922399322184,3.9969474127139786,2.8482332986498617,0.9946392043906124,0.7068979756913631,189.0699633150677,122.76221319641729,-0.16609004195025046,12.93125814684071
nike,0.19664462221774343,0.14392975580925066,0.9999759288581341,0.8002033876992408,0.9771048645428252,0.7317497313968719,0.9907511049274578,0.6533231872785906,0.7293452646472256,0.5656667189164597,0.9967238672434755,0.7172676792254276
nintendo,0.030906314702783655,0.022728097808565554,0.999929791628564,0.42741477860813,0.047115837388595164,0.035903474724150376,0.9951525400313423,0.33656718368003086,1.2556818704581436,0.5642446759380872,0.6738876027442617,3.0488847240937926
nordstrom,0.1308657490838988,0.09943932120779833,0.99992128089184,0.4842699668047675,0.1632066065877262,0.1279021520463246,0.9961860056698665,0.7608632445710495,0.16427307527700813,0.12987208487418717,0.9941202930416201,0.598919740851291
nvidia,0.12350637655407526,0.07543063714793877,0.9999953517027641,1.0568682005268448,74.76141482885511,44.07424371204679,0.7689672622028282,12.987175994815598,3.2694210846190908,2.2454664345943565,0.9817218742240316,2.1689778974320757
peloton,0.16063968461314757,0.12920718059794775,0.9999870836548131,0.42320077072280965,1.2334885876010202,0.8154103528885615,0.816652641234621,14.818888745636698,2.454132496836015,1.9486753446887237,-0.3356834507403572,48.64003743141879
philips,0.09424323992474762,0.06821402494866591,0.999914232732601,0.31501789827217436,0.07184680542183437,0.05620304426823961,0.9987211962615327,0.2936687904141286,0.09814843137317925,0.07097260157267263,0.9990570837097951,0.27295190020562426
pinterest,0.04514546018500443,0.03651570967484339,0.9999948032669964,0.12301762437215062,0.2921781069063134,0.22932419701228077,0.9930554056815941,0.8371889962386629,0.47495013198854286,0.3650218501235501,0.9902404959177706,1.080809267533195
porsche,0.022627939833292036,0.017209281953556047,0.9998219854337883,0.3377175690908035,0.019104276288404044,0.014828245003384899,0.9983594367775512,0.2846783545786448,0.02102711544296113,0.01622476614066186,0.9980239228111989,0.3815783468376124
procter & gamble,0.18178770795176663,0.13573104630320806,0.9999725811825168,0.28771873778973966,0.6365773928864208,0.48701130536447956,0.9872169560364362,0.3302639099818038,11.519236646015289,10.071403426353378,-2.0881211581528154,5.958237104129658
puma,0.11157495105358727,0.07204681419714397,0.9999857370444816,0.16075762169544294,0.43830035562560954,0.31351804970508784,0.9941878331279999,0.5248641573925142,1.8204819765121936,0.6734330322169051,0.9562338641613509,1.8290503500904605
roblox,0.13618359360477858,0.10730157877159946,0.9999717333198016,0.2102668518553548,0.6183274105243726,0.482758945888943,0.988165617504391,1.358834499055101,1.335281114468517,0.885341080752286,0.9878037987888023,1.6771503589355516
salesforce / slack,0.3155758899013089,0.23414698556816196,0.99998158435128,0.7517849684330006,1.555972211838219,1.256050049312534,0.9965936637358399,0.6183524817532554,17.111287916023556,9.495635177149918,0.721157165656999,2.9228128374165863
shopify,0.17682181843934033,0.12250789580429686,0.9999853384518019,0.6786926224055008,0.9894774347382902,0.7809774913485087,0.9911320243603753,1.3566294479101941,1.3303239490478784,0.9724917363638824,0.9949865448291059,1.2169418916348202
southwest airlines,0.1175809750651771,0.08351050622932486,0.999950119842896,0.4003813134021328,0.41758848866026355,0.31471620287213997,0.9885843528801685,1.1000379593207976,0.4137537412832276,0.3017302233763414,0.9740665848827686,1.0450385212224191
spotify,0.1586982301978072,0.1291328564024804,0.9999943848719774,0.08142822794360909,1.1261099118527544,0.8749767774604715,0.9980148768407597,0.6317291613228431,126.95542537742584,79.06198397549716,0.03876065077699886,14.581272411492149
starbucks,0.05913786900497639,0.04545810899525207,0.9999961751387546,0.34193821404624347,0.596999237151782,0.43925249008905354,0.9861547192031783,0.43795589869947693,0.7442674684411728,0.5235068773982497,0.9944675456013999,0.5627521225614249
target,0.19268856479796195,0.14356758789384186,0.9999847909982797,0.32467088394979293,3.913075963318799,2.685025411938864,0.9604660074472302,2.038639961938885,3.7967785323110053,2.4151179381091183,0.9654810145013981,1.8526687247244915
tesla,0.0533570751042934,0.04106163989929914,0.9999996879133941,0.4453357489261938,3.015888112930915,2.242539935641819,0.9948150178592121,1.1745503324491018,12.970106219317534,5.832222447250828,0.9737147211190093,1.7888742827421606
the coca-cola company,0.08859683124232047,0.06572088232018977,0.9999597117289438,0.28380375490759524,0.3094726501203993,0.24323054722377252,0.9879697612408866,0.41390242786034137,4.70104543301452,3.1702709390659525,-0.02823001305809214,4.5352237937878295
the home depot,0.1391305772036282,0.1046581950565892,0.9999976487622648,0.23945964940550488,3.203407199269869,2.220753582350287,0.9699950945372073,0.7095588416897104,12.389519556604851,8.89948997112236,0.799754369321865,2.2867629723219194
the walt disney company,0.14023553649655546,0.10720825343628879,0.9999910279768165,0.2567182852597949,0.4614085418337669,0.3508396754189142,0.9965302071063549,0.38654658944352144,0.4757550096760256,0.3321520872790398,0.997686290878116,0.3240892328748691
toyota,0.14050440985625431,0.11177802164154543,0.9999857700448753,0.141573196451665,0.9534760204646348,0.6215199626299501,0.99754722984251,0.37246038327876513,15.552533954059323,8.175744682851464,0.5168970184886864,3.6137717407213623
uber,0.13377669541461157,0.10481306725669089,0.9998133437383707,0.30095229068031637,0.46770421897772235,0.2820481951274567,0.9973750072678212,0.6433176014111175,12.965128841077403,11.337695131398212,-2.9538057607479855,15.149009095857979
ubisoft,0.03503999271026371,0.025829600135485322,0.9999694361771426,0.43908293185127195,0.08891490727323792,0.060283702683163826,0.9818893549950297,1.1693990958873561,0.090436009898006,0.06207256576027532,0.9914521175436709,1.707306168507261
unilever,0.04895367259565046,0.03770165248137179,0.9999897715761843,0.19941395862340697,0.12913331849253817,0.09989511254299215,0.996739045246962,0.2006792734088534,3.8355512294085434,2.537965591507729,0.4839554338986902,4.09710118433182
visa,0.06448896105021158,0.049327622935031776,0.999999190068555,0.11478996137969477,4.825198303499602,2.6826825823102642,0.8223388925446613,1.0895828147410505,64.27149981090376,56.598443850122315,-3.3294214310315056,18.208066778202824
zoom video communications,0.13830725032639782,0.10939694471992299,0.999998869712227,0.08158562243958467,0.8999929386636686,0.6780078676011827,0.9556512076935906,1.001000708756573,2.1379453142121805,1.359271232527916,0.945668221376705,2.1371252423579485
zoominfo,0.14448963782573354,0.11733637002798221,0.9998155660805477,0.2561278869441998,7.291486289685628,5.784734707030039,-1.4150254368941444,33.836911678817216,15.329325515777906,15.10756257817715,-34.361918275993915,137.72014641921922
